customer_id,customer_segment,order_count,total_spent,avg_order_value,last_purchase_date
87459,,1,59.0,59.0,2018-08-28 00:00:00
87925,,1,85.0,85.0,2018-08-26 00:00:00
88083,,1,85.9,85.9,2018-08-25 00:00:00
88135,,1,130.0,130.0,2018-08-26 00:00:00
88542,,1,103.0,103.0,2018-08-24 00:00:00
88562,,1,29.9,29.9,2018-08-28 00:00:00
88637,,1,110.32,110.32,2018-08-25 00:00:00
88787,,1,62.0,62.0,2018-08-23 00:00:00
88990,,1,29.9,29.9,2018-08-25 00:00:00
89041,,1,99.0,99.0,2018-08-23 00:00:00
89374,,1,184.9,184.9,2018-08-26 00:00:00
89683,,1,170.0,170.0,2018-08-23 00:00:00
89720,,1,20.9,20.9,2018-08-26 00:00:00
89786,,1,56.1,56.1,2018-08-25 00:00:00
89788,,1,28.39,28.39,2018-08-23 00:00:00
90869,,1,109.9,109.9,2018-08-24 00:00:00
91105,,1,50.019999999999996,25.009999999999998,2018-08-23 00:00:00
91474,,1,85.9,85.9,2018-08-27 00:00:00
91486,,1,99.0,99.0,2018-08-24 00:00:00
91582,,1,23.75,23.75,2018-08-27 00:00:00
91687,,1,97.0,48.5,2018-08-23 00:00:00
91738,,1,51.5,51.5,2018-08-24 00:00:00
91756,,1,74.9,74.9,2018-08-23 00:00:00
91878,,1,74.31,74.31,2018-08-24 00:00:00
92116,,1,57.99,57.99,2018-08-24 00:00:00
92438,,1,49.99,49.99,2018-08-27 00:00:00
92545,,1,340.0,340.0,2018-08-24 00:00:00
92642,,1,49.9,49.9,2018-08-25 00:00:00
92666,,1,2.2,2.2,2018-08-25 00:00:00
92713,,1,99.9,99.9,2018-08-23 00:00:00
92819,,1,19.99,19.99,2018-08-23 00:00:00
93043,,1,34.0,34.0,2018-08-27 00:00:00
93261,,1,85.9,85.9,2018-08-26 00:00:00
93422,,1,169.0,169.0,2018-08-25 00:00:00
93537,,1,49.9,49.9,2018-08-24 00:00:00
93597,,1,56.9,56.9,2018-08-25 00:00:00
93737,,1,149.0,149.0,2018-08-26 00:00:00
93805,,1,349.0,349.0,2018-08-27 00:00:00
93876,,1,89.9,89.9,2018-08-25 00:00:00
94185,,1,15.9,15.9,2018-08-24 00:00:00
94434,,1,63.9,63.9,2018-08-23 00:00:00
94749,,1,20.9,20.9,2018-08-25 00:00:00
95225,,1,129.0,129.0,2018-08-26 00:00:00
95332,,1,198.0,99.0,2018-08-23 00:00:00
95635,,1,119.99,119.99,2018-08-28 00:00:00
96276,,1,79.0,79.0,2018-08-26 00:00:00
